Sample,Cr,Cu,As,Se,Cd,Sn,Pb,Rb(ug/L),Ru,Cs,Ir,V,Co,Ag,Pt,Au,Ti, Li  ,Al,Ti,Ni,Sr,Mo,Rh,Sb,Te,Ba,Hg,Zn,Ca,Fe,K,Mn,Cu,Na,P,Mg
79,0.18,7.177,0.047,2.284,0.025,0.031,0.414,1.478,0,0.11,0,0.024,0.004,0.004,0,0,0.005,1.532,17.779,1.03,0.407,7.467,0,0.003,0.034,0,2.498,0,1.61,8.25,0.87,132.15,16.53,26.33,24.51,69.09,8.92
80,0.192,2.716,0.122,0.733,0.023,0.012,0.223,0.712,0,0.027,0,0.034,0.03,0.03,0.102,0,0.002,1.995,5.368,1.979,0.134,18.203,0.101,0.002,0.065,0,4.191,0,0.58,10.84,0.32,36.06,18.7,11.29,171.13,65.31,4.01
81,0.324,13.245,0.132,1.323,0.028,0.032,0.265,4.548,0,0.13,0,0.061,0.049,0.049,0,0.101,0.009,0,152.891,2.681,0.058,10.261,0.041,0,0.015,0,2.513,0,4.9,12.85,2.27,189.73,15.92,62.81,37.74,117.23,14.79
82,0.685,14.895,0.145,3.181,0.02,0.142,2.75,9.91,0.001,0.289,0,0.074,0.1,0.1,0.049,0,0.01,0,4.722,7,0.321,3.245,0.115,0.003,0.025,0,1.237,0,4.36,5.82,8.36,348.1,24.47,60.87,36.55,179.38,20.01
83,0.297,9.852,0.071,1.624,0.009,0.045,0.42,5.016,0,0.215,0,0.029,0.033,0.033,0.097,0.095,0.012,0,7.167,3.321,0.029,4.275,0.02,0,0.848,0.07,1.207,0,3.71,7,1.43,187.51,12.71,45.12,31.62,104.05,11.91
84,0.254,13.761,0.153,2.503,0.001,0.014,0.184,16.542,0,2.275,0,0.021,0.023,0.023,0,0,0.009,0,7.287,4.655,0,3.484,0.01,0,0.007,0,1.126,0,4.17,6.59,2.61,294.75,12.56,63.63,41.07,150.48,17.53
85,0.29,19.343,0.124,1.019,0.033,0.013,0.218,5.015,0,0.382,0,0.016,0.022,0.022,0.054,0,0.004,1.383,0.858,1.892,0,4.184,0.021,0,0.034,0,1.15,0,5.39,6.33,2.13,162.22,19.71,100.42,27.37,113.85,12.92
86,0.517,8.351,0.328,2.14,0.012,0.119,0.151,4.943,0,0.098,0,0.083,0.062,0.062,0.072,0.133,0.005,0,2.653,4.436,0.098,5.95,0.029,0,0.048,0,1.873,0,5.19,8.35,4.18,312.86,21.49,43.67,35.73,165.5,21.15
87,0.609,10.809,0.232,1.821,0.011,0.029,0.417,3.014,0,0.227,0.037,0.031,0.151,0.151,0.045,0,0,1.642,12.088,2.196,0.141,3.097,0.067,0,0.011,0,0.832,0,5.32,5.8,2.73,226.96,13.77,47.43,36.27,120.46,13.7
88,0.428,7.388,0.156,1.524,0.014,0.033,0.622,8.241,0,0.34,0.036,0.022,0.045,0.045,0.048,0.174,0.003,0,10.056,4.686,0.005,4.408,0.048,0.004,0.005,0,1.638,0,3.75,7.73,1.48,284.94,16.61,40.03,36.03,144.76,17.04
89,0.556,14.051,0.222,1.757,0,0.025,0.165,13.868,0,0.215,0.036,0.023,0.034,0.034,0.093,0,0,1.516,11.654,5.552,0.005,5.368,0.113,0,0.019,0,1.723,0.001,5.54,8.89,2.61,329.41,20.56,77.08,49.29,170.33,20.13
90,0.24,9.278,0.258,2.12,0.026,0.017,0.37,4.192,0,0.163,0,0.026,0.033,0.033,0,0,0.003,3.025,6.024,2.602,0.021,5.203,0,0,0.021,0,1.942,0,1.94,10.17,2.06,271.01,13.88,38.67,39,140.82,15.98
91,0.4,5.196,0.129,1.163,0.004,0.021,0.09,2.538,0,0.084,0,0.028,0.026,0.026,0,0,0,7.074,17.14,3.4,0.105,5.88,0.005,0.003,0.019,0,1.925,0,1.43,8.3,1.29,189.71,11.79,16.84,28.78,103.71,12.39
92,0.299,8.552,0.135,1.223,0.004,0.017,0.188,3.529,0,0.208,0,0.04,0.029,0.029,0,0,0,0,21.555,5.668,0,3.634,0.01,0.005,0.009,0,1.219,0,4.46,6.29,1.37,258.04,13.9,42.49,37.77,141.92,16.11
93,0.244,9.54,0.206,2.155,0.021,0.021,0.285,22.382,0,1.067,0,0.017,0.055,0.055,0.096,0,0.003,12.639,7.903,6.771,0.596,4.414,0.118,0.001,0.037,0.044,1.437,0,3.78,7.04,3.12,335.06,18.62,45.68,70.6,165.92,19.56
94,0.757,10.569,0.334,1.693,0.004,0.031,0.245,14.471,0.001,0.737,0,0.092,0.035,0.035,0,0.108,0.001,2.345,54.41,6.301,0.096,10.691,0.122,0.009,0.025,0,3.326,0,2.74,14.8,2.93,258.42,14.63,56.21,71.84,134.11,17.39
95,0.217,3.884,0.074,0.7,0.007,0.003,0.154,3.117,0,0.112,0.039,0,0,0,0,0,0,16.533,1.889,4.751,0.153,3.814,0.029,0.001,0.007,0,1.374,0.004,1.12,2.95,1.57,136.46,6.04,12.52,21.51,69.11,7.48
